106
S,0,1,0.528,0.563,0.000,2.815,999999,0.680,0.680,0.0158,0.680,0.0158,0.0158,1,-23		! Row 5, Col. 1
S,0,1,0.528,0.563,0.528,2.815,999999,0.680,0.680,0.0207,0.680,0.0207,0.0207,1,-51		! Row 5, Col. 2
S,0,1,0.528,0.563,1.056,2.815,999999,0.680,0.680,0.0207,0.680,0.0207,0.0207,1,-24		! Row 5, Col. 3
S,0,1,0.528,0.563,1.584,2.815,999999,0.680,0.680,0.0230,0.680,0.0230,0.0230,1,-77		! Row 5, Col. 4
S,0,1,0.528,0.563,2.112,2.815,999999,0.680,0.680,0.0145,0.680,0.0145,0.0145,1,-46		! Row 5, Col. 5
S,0,1,0.528,0.563,2.640,2.815,999999,0.680,0.680,0.0145,0.680,0.0145,0.0145,1,-12		! Row 5, Col. 6
S,0,1,0.528,0.563,3.168,2.815,999999,0.680,0.680,0.0184,0.680,0.0184,0.0184,1,-35		! Row 5, Col. 7
S,0,1,0.528,0.563,3.696,2.815,999999,0.680,0.680,0.0177,0.680,0.0177,0.0177,1,-32		! Row 5, Col. 8
S,0,1,0.528,0.563,4.224,2.815,999999,0.680,0.680,0.0177,0.680,0.0177,0.0177,1,-36		! Row 5, Col. 9
S,0,1,0.528,0.563,4.752,2.815,999999,0.680,0.680,0.0155,0.680,0.0155,0.0155,1,-17		! Row 5, Col. 10
S,0,1,0.528,0.563,0.000,2.252,999999,0.680,0.680,0.0181,0.680,0.0181,0.0181,1,-24		! Row 6, Col. 1
S,0,1,0.528,0.563,0.528,2.252,999999,0.680,0.680,0.0249,0.680,0.0249,0.0249,1,-110		! Row 6, Col. 2
S,0,1,0.528,0.563,1.056,2.252,999999,0.680,0.680,0.0324,0.680,0.0324,0.0324,1,-44		! Row 6, Col. 3
S,0,1,0.528,0.563,1.584,2.252,999999,0.680,0.680,0.0243,0.680,0.0243,0.0243,1,-45		! Row 6, Col. 4
S,0,1,0.528,0.563,2.112,2.252,999999,0.680,0.680,0.0213,0.680,0.0213,0.0213,1,-29		! Row 6, Col. 5
S,0,1,0.528,0.563,2.640,2.252,999999,0.680,0.680,0.0190,0.680,0.0190,0.0190,1,-13		! Row 6, Col. 6
S,0,1,0.528,0.563,3.168,2.252,999999,0.680,0.680,0.0125,0.680,0.0125,0.0125,1,-34		! Row 6, Col. 7
S,0,1,0.528,0.563,3.696,2.252,999999,0.680,0.680,0.0246,0.680,0.0246,0.0246,1,-28		! Row 6, Col. 8
S,0,1,0.528,0.563,4.224,2.252,999999,0.680,0.680,0.0171,0.680,0.0171,0.0171,1,-21		! Row 6, Col. 9
S,0,1,0.528,0.563,4.752,2.252,999999,0.680,0.680,0.0089,0.680,0.0089,0.0089,1,-10		! Row 6, Col. 10
S,0,1,0.528,0.563,0.000,1.689,999999,0.680,0.680,0.0128,0.680,0.0128,0.0128,1,-32		! Row 7, Col. 1
S,0,1,0.528,0.563,0.528,1.689,999999,0.680,0.680,0.0174,0.680,0.0174,0.0174,1,-29		! Row 7, Col. 2
S,0,1,0.528,0.563,1.056,1.689,999999,0.680,0.680,0.0190,0.680,0.0190,0.0190,1,-18		! Row 7, Col. 3
S,0,1,0.528,0.563,1.584,1.689,999999,0.680,0.680,0.0164,0.680,0.0164,0.0164,1,-45		! Row 7, Col. 4
S,0,1,0.528,0.563,2.112,1.689,999999,0.680,0.680,0.0204,0.680,0.0204,0.0204,1,-27		! Row 7, Col. 5
S,0,1,0.528,0.563,2.640,1.689,999999,0.680,0.680,0.0197,0.680,0.0197,0.0197,1,-42		! Row 7, Col. 6
S,0,1,0.528,0.563,3.168,1.689,999999,0.680,0.680,0.0246,0.680,0.0246,0.0246,1,-65		! Row 7, Col. 7
S,0,1,0.528,0.563,3.696,1.689,999999,0.680,0.680,0.0275,0.680,0.0275,0.0275,1,-59		! Row 7, Col. 8
S,0,1,0.528,0.563,4.224,1.689,999999,0.680,0.680,0.0164,0.680,0.0164,0.0164,1,-61		! Row 7, Col. 9
S,0,1,0.528,0.563,4.752,1.689,999999,0.680,0.680,0.0122,0.680,0.0122,0.0122,1,-15		! Row 7, Col. 10
S,0,1,0.528,0.563,0.000,1.126,999999,0.680,0.680,0.0184,0.680,0.0184,0.0184,1,0		! Row 8, Col. 1
S,0,1,0.528,0.563,0.528,1.126,999999,0.680,0.680,0.0341,0.680,0.0341,0.0341,1,-30		! Row 8, Col. 2
S,0,1,0.528,0.563,1.056,1.126,999999,0.680,0.680,0.0269,0.680,0.0269,0.0269,1,-70		! Row 8, Col. 3
S,0,1,0.528,0.563,1.584,1.126,999999,0.680,0.680,0.0298,0.680,0.0298,0.0298,1,-71		! Row 8, Col. 4
S,0,1,0.528,0.563,2.112,1.126,999999,0.680,0.680,0.0220,0.680,0.0220,0.0220,1,-50		! Row 8, Col. 5
S,0,1,0.528,0.563,2.640,1.126,999999,0.680,0.680,0.0252,0.680,0.0252,0.0252,1,-47		! Row 8, Col. 6
S,0,1,0.528,0.563,3.168,1.126,999999,0.680,0.680,0.0168,0.680,0.0168,0.0168,1,-44		! Row 8, Col. 7
S,0,1,0.528,0.563,3.696,1.126,999999,0.680,0.680,0.0204,0.680,0.0204,0.0204,1,0		! Row 8, Col. 8
S,0,1,0.528,0.563,4.224,1.126,999999,0.680,0.680,0.0194,0.680,0.0194,0.0194,1,-44		! Row 8, Col. 9
S,0,1,0.528,0.563,4.752,1.126,999999,0.680,0.680,0.0102,0.680,0.0102,0.0102,1,-20		! Row 8, Col. 10
S,0,1,0.528,0.563,0.000,0.563,999999,0.680,0.680,0.0138,0.680,0.0138,0.0138,1,-21		! Row 9, Col. 1
S,0,1,0.528,0.563,0.528,0.563,999999,0.680,0.680,0.0311,0.680,0.0311,0.0311,1,-37		! Row 9, Col. 2
S,0,1,0.528,0.563,1.056,0.563,999999,0.680,0.680,0.0236,0.680,0.0236,0.0236,1,-60		! Row 9, Col. 3
S,0,1,0.528,0.563,1.584,0.563,999999,0.680,0.680,0.0269,0.680,0.0269,0.0269,1,-62		! Row 9, Col. 4
S,0,1,0.528,0.563,2.112,0.563,999999,0.680,0.680,0.0164,0.680,0.0164,0.0164,1,-50		! Row 9, Col. 5
