121
S,0,1,0.528,0.563,0.000,2.815,999999,0.680,0.680,0.0145,0.680,0.0145,0.0145,1,-13		! Row 5, Col. 1
S,0,1,0.528,0.563,0.528,2.815,999999,0.680,0.680,0.0119,0.680,0.0119,0.0119,1,-39		! Row 5, Col. 2
S,0,1,0.528,0.563,1.056,2.815,999999,0.680,0.680,0.0132,0.680,0.0132,0.0132,1,-12		! Row 5, Col. 3
S,0,1,0.528,0.563,1.584,2.815,999999,0.680,0.680,0.0109,0.680,0.0109,0.0109,1,-30		! Row 5, Col. 4
S,0,1,0.528,0.563,2.112,2.815,999999,0.680,0.680,0.0115,0.680,0.0115,0.0115,1,-15		! Row 5, Col. 5
S,0,1,0.528,0.563,2.640,2.815,999999,0.680,0.680,0.0083,0.680,0.0083,0.0083,1,-4		! Row 5, Col. 6
S,0,1,0.528,0.563,3.168,2.815,999999,0.680,0.680,0.0106,0.680,0.0106,0.0106,1,-10		! Row 5, Col. 7
S,0,1,0.528,0.563,3.696,2.815,999999,0.680,0.680,0.0177,0.680,0.0177,0.0177,1,-29		! Row 5, Col. 8
S,0,1,0.528,0.563,4.224,2.815,999999,0.680,0.680,0.0122,0.680,0.0122,0.0122,1,-23		! Row 5, Col. 9
S,0,1,0.528,0.563,4.752,2.815,999999,0.680,0.680,0.0132,0.680,0.0132,0.0132,1,-2		! Row 5, Col. 10
S,0,1,0.528,0.563,0.000,2.252,999999,0.680,0.680,0.0080,0.680,0.0080,0.0080,1,-13		! Row 6, Col. 1
S,0,1,0.528,0.563,0.528,2.252,999999,0.680,0.680,0.0210,0.680,0.0210,0.0210,1,-23		! Row 6, Col. 2
S,0,1,0.528,0.563,1.056,2.252,999999,0.680,0.680,0.0249,0.680,0.0249,0.0249,1,-5		! Row 6, Col. 3
S,0,1,0.528,0.563,1.584,2.252,999999,0.680,0.680,0.0269,0.680,0.0269,0.0269,1,-17		! Row 6, Col. 4
S,0,1,0.528,0.563,2.112,2.252,999999,0.680,0.680,0.0177,0.680,0.0177,0.0177,1,-23		! Row 6, Col. 5
S,0,1,0.528,0.563,2.640,2.252,999999,0.680,0.680,0.0099,0.680,0.0099,0.0099,1,-16		! Row 6, Col. 6
S,0,1,0.528,0.563,3.168,2.252,999999,0.680,0.680,0.0246,0.680,0.0246,0.0246,1,-16		! Row 6, Col. 7
S,0,1,0.528,0.563,3.696,2.252,999999,0.680,0.680,0.0243,0.680,0.0243,0.0243,1,-21		! Row 6, Col. 8
S,0,1,0.528,0.563,4.224,2.252,999999,0.680,0.680,0.0266,0.680,0.0266,0.0266,1,-20		! Row 6, Col. 9
S,0,1,0.528,0.563,4.752,2.252,999999,0.680,0.680,0.0151,0.680,0.0151,0.0151,1,-4		! Row 6, Col. 10
S,0,1,0.528,0.563,0.000,1.689,999999,0.680,0.680,0.0128,0.680,0.0128,0.0128,1,-10		! Row 7, Col. 1
S,0,1,0.528,0.563,0.528,1.689,999999,0.680,0.680,0.0275,0.680,0.0275,0.0275,1,-20		! Row 7, Col. 2
S,0,1,0.528,0.563,1.056,1.689,999999,0.680,0.680,0.0073,0.680,0.0073,0.0073,1,-25		! Row 7, Col. 3
S,0,1,0.528,0.563,1.584,1.689,999999,0.680,0.680,0.0073,0.680,0.0073,0.0073,1,-53		! Row 7, Col. 4
S,0,1,0.528,0.563,2.112,1.689,999999,0.680,0.680,0.0279,0.680,0.0279,0.0279,1,-45		! Row 7, Col. 5
S,0,1,0.528,0.563,2.640,1.689,999999,0.680,0.680,0.0112,0.680,0.0112,0.0112,1,-28		! Row 7, Col. 6
S,0,1,0.528,0.563,3.168,1.689,999999,0.680,0.680,0.0272,0.680,0.0272,0.0272,1,-63		! Row 7, Col. 7
S,0,1,0.528,0.563,3.696,1.689,999999,0.680,0.680,0.0073,0.680,0.0073,0.0073,1,-56		! Row 7, Col. 8
S,0,1,0.528,0.563,4.224,1.689,999999,0.680,0.680,0.0109,0.680,0.0109,0.0109,1,-64		! Row 7, Col. 9
S,0,1,0.528,0.563,4.752,1.689,999999,0.680,0.680,0.0230,0.680,0.0230,0.0230,1,-23		! Row 7, Col. 10
S,0,1,0.528,0.563,0.000,1.126,999999,0.680,0.680,0.0125,0.680,0.0125,0.0125,1,-23		! Row 8, Col. 1
S,0,1,0.528,0.563,0.528,1.126,999999,0.680,0.680,0.0272,0.680,0.0272,0.0272,1,-21		! Row 8, Col. 2
S,0,1,0.528,0.563,1.056,1.126,999999,0.680,0.680,0.0073,0.680,0.0073,0.0073,1,-61		! Row 8, Col. 3
S,0,1,0.528,0.563,1.584,1.126,999999,0.680,0.680,0.0073,0.680,0.0073,0.0073,1,-41		! Row 8, Col. 4
S,0,1,0.528,0.563,2.112,1.126,999999,0.680,0.680,0.0279,0.680,0.0279,0.0279,1,-54		! Row 8, Col. 5
S,0,1,0.528,0.563,2.640,1.126,999999,0.680,0.680,0.0125,0.680,0.0125,0.0125,1,-15		! Row 8, Col. 6
